區鄉,里村,納稅單位,綜合所得總額,平均數,,中位數,,第一分位數,第三分位數,標準差,變異係數
中山區,下埤里,2717,2659343,,979,,555,239,1157,1445.04,147.64
中山區,中原里,1853,2156933,,1164,,598,260,1262,1937.68,166.46
中山區,新庄里,1599,1129720,,707,,432,194,908,898.08,127.11
中山區,江寧里,2550,3049291,,1196,,639,267,1454,1805.05,150.95
中山區,復華里,1784,2454073,,1376,,669,264,1528,2227.49,161.93
中山區,興亞里,2124,2599557,,1224,,608,258,1396,2046.07,167.18
中山區,朱園里,1848,2648066,,1433,,695,282,1451,3395.31,236.95
中山區,中央里,1322,1464163,,1108,,590,235,1390,1722.42,155.52
中山區,新福里,1734,1593477,,919,,487,209,1054,1804.26,196.34
中山區,中庄里,1703,1463776,,860,,485,214,1034,1228.13,142.88
中山區,康樂里,985,996346,,1012,,547,213,1143,1593.10,157.50
中山區,行政里,1971,1673600,,849,,472,215,1012,1362.71,160.49
中山區,聚葉里,1378,1321001,,959,,524,221,1112,1737.19,181.21
中山區,正得里,1347,1597551,,1186,,602,280,1347,2679.61,225.94
中山區,中吉里,2046,2431744,,1189,,640,256,1364,1923.07,161.80
中山區,新喜里,1710,1525701,,892,,498,226,1060,1583.90,177.52
中山區,埤頭里,1179,1273714,,1080,,536,241,1086,3394.33,314.19
中山區,大直里,3049,3235621,,1061,,608,258,1309,1570.98,148.04
中山區,劍潭里,1120,1254000,,1120,,572,285,1235,2043.19,182.49
中山區,力行里,2413,3757929,,1557,,651,280,1473,5432.08,348.80
中山區,朱崙里,1148,1470231,,1281,,634,266,1374,2127.38,166.11
中山區,晴光里,1973,2212680,,1121,,529,224,1197,3772.73,336.41
中山區,永安里,3436,6140030,,1787,,841,321,1979,3599.93,201.45
中山區,圓山里,1384,1199044,,866,,542,230,1086,1207.32,139.36
中山區,民安里,1631,1696995,,1040,,537,232,1165,1525.72,146.64
中山區,行孝里,1442,1215002,,843,,510,231,1068,1096.29,130.11
中山區,龍洲里,1816,1966151,,1083,,584,246,1245,2067.51,190.96
中山區,行仁里,2504,1972833,,788,,485,220,981,986.18,125.17
中山區,朱馥里,1999,1988568,,995,,524,233,1157,1488.22,149.60
中山區,金泰里,2891,6364408,,2201,,874,339,2088,7134.22,324.07
中山區,北安里,898,894195,,996,,590,265,1271,1167.45,117.24
中山區,其　他,22,15901,,723,,558,231,1144,603.09,83.44
中山區,合　計,78028,91229978,,1169,,581,247,1284,3198.16,273.53
文山區,景美里,1685,1766061,,1048,,627,272,1308,1413.01,134.82
